Module,Dependency,License,Url
chroniql-server,org.springframework:spring-webmvc:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
chroniql-server,io.github.openfeign:feign-core:10.12,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
chroniql-server,org.mongodb:mongodb-driver-core:4.1.2,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
chroniql-server,org.reactivestreams:reactive-streams:1.0.3,CC0,http://creativecommons.org/publicdomain/zero/1.0/
notarization-server,io.github.openfeign.form:feign-form-spring:3.8.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.security:spring-security-rsa:1.0.10.RELEASE,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter-json:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework.data:spring-data-commons:2.4.15,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework.data:spring-data-mongodb:3.1.15,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,io.springfox:springfox-swagger-common:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.aspectj:aspectjweaver:1.9.7,Eclipse Public License - v 2.0,https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter-cache:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,io.springfox:springfox-spring-webmvc:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.cloud:spring-cloud-starter-openfeign:3.0.6,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.springframework:spring-core:5.3.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.slf4j:slf4j-api:1.7.32,MIT License,http://www.opensource.org/licenses/mit-license.php
notarization-server,org.springframework.boot:spring-boot-starter-validation:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.bouncycastle:bcpkix-jdk15on:1.68,Bouncy Castle Licence,http://www.bouncycastle.org/licence.html
notarization-server,org.apache.tomcat.embed:tomcat-embed-websocket:9.0.55,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,net.minidev:json-smart:2.3.1,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.cloud:spring-cloud-openfeign-core:3.0.6,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.apache.logging.log4j:log4j-api:2.13.3,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,io.springfox:springfox-oas:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,io.springfox:springfox-boot-starter:3.0.0,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.mapstruct:mapstruct:1.3.1.Final,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,io.github.openfeign:feign-slf4j:10.12,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,com.fasterxml.jackson.core:jackson-databind:2.11.4,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,com.fasterxml.jackson.module:jackson-module-parameter-names:2.11.4,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
notarization-server,org.springframework.boot:spring-boot-starter-actuator:2.4.13,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0
notarization-server,org.mongodb:mongodb-driver-sync:4.1.2,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt
